from,to,relation
ORG176,CONC072,duty
ORG177,OBJ092,hasRight
OBJ093,CLS087,contain
ORG046,OBJ094,relevant
ORG158,OBJ095,relevant
OBJ096,OBJ097,isLocate
ORG046,OBJ096,hasRight
ORG178,OBJ096,hasRight
ORG084,OBJ093,duty
ORG223,LOC157,hasRight
ORG046,DOC224,publish
CONC073,ORG179,relevant
CONC074,CLS007,contain
CONC075,ACT135,relevant
CONC075,OBJ098,contain
ORG180,ACT136,publish
ORG181,ACT137,hasRight
ORG180,ACT139,hasRight
CONC073,ACT140,relevant
CONC073,ACT141,relevant
ORG046,CONC076,publish
DOC225,CONC077,cite
ORG174,ACT142,hasRight
ORG048,ORG182,relevant
ORG123,PER028,workFor
ORG123,PER029,workFor
ORG123,PER030,workFor
ORG123,PER031,workFor
ORG123,PER032,workFor
ORG123,PER033,workFor
ORG123,PER034,workFor
ORG123,PER035,workFor
ORG123,PER036,workFor
ORG123,PER037,workFor
ORG123,PER038,workFor
ORG123,PER039,workFor
ORG123,PER040,workFor
ORG123,PER041,workFor
ORG123,PER042,workFor
ORG124,ORG183,isLocate
ORG124,PER036,workFor
ORG163,CONC037,relevant
ORG046,DOC226,publish
ORG046,DOC226,publish
ORG046,ORG158,hasRight
ORG184,DOC227,relevant
ORG046,ORG026,publish
ORG046,ORG026,hasRight
ORG026,ORG046,prohibition
ORG026,ORG046,belongTo
CONC078,ORG026,duty
ORG046,ORG026,hasRight
ORG026,ORG046,duty
ORG046,ORG026,hasRight
ORG046,ACT143,publish
ORG185,ACT144,duty
LOC012,CLS088,relevant
CLS088,STATE014,classifyTo
ORG046,DOC228,publish
ORG046,CONC079,relevant
ORG046,CONC080,relevant
ORG046,CONC081,relevant
ORG046,ACT145,hasRight
ORG046,ACT146,hasRight
ORG046,DOC165,hasRight
ORG046,ACT147,relevant
ORG046,DOC229,publish
ORG046,LOC055,hasRight
ORG046,ACT148,hasRight
ORG046,OBJ099,hasRight
ORG046,OBJ093,hasRight
ORG046,OBJ100,hasRight
ORG046,OBJ101,hasRight
ORG046,ACT149,hasRight
ORG046,ACT150,hasRight
ORG046,ACT151,hasRight
ORG046,CONC059,hasRight
ORG046,CONC082,relevant
ORG046,ACT152,hasRight
ORG046,OBJ102,hasRight
ORG046,ACT153,hasRight
ORG046,CONC083,relevant
ORG046,ACT154,hasRight
ORG046,CONC084,relevant
ORG046,CONC085,hasRight
ORG046,ACT155,hasRight
ORG046,CONC086,hasRight
ORG046,ACT156,hasRight
ORG046,ACT157,relevant
ORG046,ACT158,hasRight
ACT159,OBJ103,contain
LOC190,CLS089,isLocate
LOC193,OBJ104,relevant
LOC194,LOC195,relevant
LOC196,STATE015,relevant
ORG046,DOC231,hasRight
ORG046,DOC232,publish
ACT160,DOC233,contain
ORG186,ORG046,belongTo
ORG046,ORG187,relevant
ORG186,ORG188,relevant
ACT160,CONC087,relevant
ORG186,ORG189,relevant
ACT161,CONC088,prohibition
ORG190,DOC234,relevant
ORG046,DOC235,publish
LOC197,ORG191,belongTo
ORG099,LOC154,hasRight
LOC155,OBJ046,contain
LOC155,ACT530,duty
ORG046,DOC258,relevant
ORG046,CLS106,hasRight
ORG046,ORG109,belongTo
ORG046,DOC236,cite
ORG019,DOC237,publish
ORG046,DOC238,publish
ORG046,DOC239,publish
ORG046,DOC240,publish
ORG046,DOC241,publish
ORG046,ORG010,publish
LOC083,LOC300,isLocate
ORG046,DOC039,publish
OBJ081,ACT107,relevant
OBJ081,ACT708,relevant
CONC059,DOC202,relevant
ORG046,DOC242,publish
ORG046,DOC243,publish
ORG109,ORG192,belongTo
ORG193,ORG046,relevant
ORG194,CONC089,publish
ORG046,ORG195,belongTo
ORG196,CONC090,relevant
CONC091,OBJ105,contain
ORG046,CONC092,publish
ORG046,ORG197,relevant
ORG046,OBJ106,publish
LOC198,CLS090,isLocate
ORG198,ORG199,belongTo
ORG200,CLS090,isLocate
ORG201,CLS090,isLocate
ORG202,CLS090,isLocate
ORG174,ACT162,duty
DOC244,EXP_DEF029,relevant
ORG333,ORG046,belongTo
ORG037,OBJ065,relevant
ORG046,DOC245,publish
CONC093,CONC094,relevant
CONC093,ORG054,classifyTo
DOC246,DOC245,isPublished
ORG203,CONC095,relevant
OBJ107,CONC096,contain
CONC093,ACT163,relevant
DOC246,DOC247,isPublished
ORG046,DOC248,publish
ORG109,ORG192,relevant
ORG046,OBJ108,publish
ORG174,OBJ108,duty
OBJ109,CONC097,relevant
ORG099,OBJ109,relevant
OBJ108,OBJ110,contain
ORG099,OBJ111,hasRight
ORG204,OBJ112,prohibition
OBJ113,OBJ108,contain
ORG205,OBJ114,hasRight
ACT164,ACT165,contain
ORG206,OBJ115,hasRight
ORG099,DOC249,publish
LOC199,CONC098,isLocate
LOC199,ACT166,relevant
ORG019,DOC251,publish
LOC012,CONC099,relevant
DOC252,DOC253,cite
OBJ116,DOC254,relevant
DOC254,OBJ116,contain
DOC254,ORG177,hasRight
OBJ116,DOC254,relevant
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,OBJ116,contain
DOC254,CLS007,contain
DOC254,OBJ116,prohibition
DOC254,OBJ116,prohibition
DOC254,OBJ116,prohibition
DOC254,OBJ116,hasRight
DOC254,OBJ116,relevant
CLS098,ACT428,relevant
ORG046,LOC200,belongTo
DOC255,DOC256,relevant
DOC257,CLS091,contain
DOC258,ORG017,isPublished
LOC200,ACT167,relevant
ACT168,ACT169,hasRight
ORG046,ORG109,belongTo
ORG017,DOC259,publish
ORG185,CLS092,hasRight
LOC201,ORG207,isLocate
ORG208,ACT170,duty
ORG185,ACT171,duty
ORG174,DOC215,cite
ORG010,ORG046,publish
LOC202,CONC100,isLocate
ORG030,ORG017,belongTo
OBJ117,ACT172,contain
LOC202,CONC101,relevant
OBJ118,OBJ119,contain
CONC102,ACT173,prohibition
CONC103,ACT174,relevant
OBJ117,ACT175,contain
LOC203,OBJ120,isLocate
ORG046,DOC260,publish
LOC204,CLS093,isLocate
ORG209,DOC260,publish
ORG174,CONC104,relevant
ORG163,ACT176,relevant
ORG099,CLS093,relevant
CLS093,DOC260,relevant
ORG046,ORG210,publish
ORG211,ORG196,relevant
ORG211,CONC105,relevant
ORG196,ORG211,relevant
ORG211,OBJ121,relevant
ORG211,ORG058,relevant
ORG196,ORG211,relevant
ORG046,ORG212,relevant
ORG211,ORG196,relevant
ORG046,ACT177,relevant
LOC205,ACT178,relevant
LOC206,ACT179,classifyTo
CLS094,ACT180,relevant
ACT181,CLS095,relevant
ACT182,ACT183,relevant
ACT184,CLS096,relevant
OBJ122,CLS097,relevant
OBJ123,OBJ016,relevant
CONC106,OBJ124,relevant
LOC207,ACT185,relevant
ACT186,ACT187,relevant
OBJ125,ACT188,relevant
OBJ126,ACT189,relevant
ACT190,CONC106,relevant
ORG046,DOC040,publish
ORG048,ACT191,publish
ORG109,LOC208,isLocate
ORG213,ACT192,publish
ORG196,CONC107,duty
OBJ127,STATE016,relevant
ORG196,ACT193,duty
ORG196,ACT194,duty
ORG196,ACT195,duty
ORG196,STATE017,relevant
ORG046,DOC261,publish
ORG046,DOC262,publish
ORG046,DOC263,cite
ORG046,CONC108,relevant
ORG046,CONC081,relevant
ORG048,ACT196,duty
ORG174,ACT197,duty
DOC264,OBJ128,relevant
LOC008,LOC209,isLocate
OBJ129,DOC265,relevant
ORG174,ACT198,duty
ORG046,DOC266,publish
OBJ128,DOC267,relevant
ORG046,DOC268,publish
CLS098,CONC109,relevant
ACT199,CONC081,relevant
CLS098,CONC068,relevant
ORG214,ACT200,workFor
ACT199,CONC110,contain
CLS098,ACT201,classifyTo
DOC269,STATE018,contain
ORG196,OBJ130,hasRight
ACT202,ORG215,relevant
ORG046,DOC065,hasRight
ORG046,ORG217,belongTo
ORG046,ORG221,publish
ORG046,ORG221,belongTo
ORG046,DOC147,publish
DOC147,OBJ131,relevant
OBJ131,CONC068,relevant
DOC147,ACT203,relevant
CONC093,ACT204,duty
OBJ132,ACT205,duty
OBJ116,DOC270,contain
CONC111,ACT206,duty
ORG196,DOC147,hasRight
ORG196,ORG216,belongTo
ORG217,ORG216,employ
ORG123,ORG183,isLocate
ORG046,DOC271,publish
PER043,ORG046,workFor
ORG093,DOC271,duty
CLS099,CONC112,contain
CLS099,DOC272,relevant
CLS099,ACT207,relevant
ORG218,CLS100,relevant
CLS101,CONC113,contain
CLS099,OBJ133,isPublished
ORG048,CLS102,publish
CLS103,LOC210,isLocate
CLS103,LOC211,isLocate
CLS103,CONC114,contain
CLS103,OBJ134,contain
CLS103,ACT208,relevant
CLS103,STATE019,relevant
ORG019,CLS103,hasRight
ORG046,ORG560,belongTo
ORG046,DOC273,publish
ORG109,ORG193,belongTo
ORG046,DOC273,publish
ORG046,DOC120,publish
DOC274,OBJ128,relevant
DOC274,CONC115,relevant
DOC274,CONC116,contain
ORG174,DOC274,relevant
DOC274,ACT209,relevant
DOC274,ORG219,hasRight
DOC274,CONC021,relevant
DOC274,CLS086,contain
DOC274,DOC275,relevant
DOC274,ACT210,prohibition
DOC274,CONC117,hasRight
ORG011,DOC015,cite
ORG046,DOC276,publish
CONC118,CLS104,contain
ACT005,LOC212,isLocate
ORG220,DOC277,publish
CONC118,OBJ135,relevant
DOC278,DOC279,relevant
DOC280,DOC281,cite
DOC282,CONC119,contain
CONC118,ORG221,relevant
ORG046,DOC006,publish
ORG222,LOC213,isLocate
ORG222,ORG223,belongTo
ORG046,ORG224,hasRight
ORG222,ACT211,hasRight
ORG222,ORG225,relevant
ORG222,CLS105,contain
ORG222,EXP_DEF030,relevant
ORG222,DOC283,cite
ORG222,ORG223,belongTo
ORG222,ORG225,relevant
ORG046,OBJ228,hasRight
ORG046,OBJ228,hasRight
OBJ228,ORG046,duty
OBJ228,PER091,workFor
ORG046,OBJ228,hasRight
ORG046,OBJ228,hasRight
ORG046,OBJ228,hasRight
ORG046,OBJ228,hasRight
ORG046,CLS114,relevant
ORG075,ORG158,relevant
ORG075,OBJ143,relevant
ORG177,CLS114,relevant
ORG158,ORG046,relevant
ORG158,ORG046,relevant
ORG046,CLS115,relevant
ORG046,DOC284,publish
ORG046,CLS053,publish
ORG046,ORG017,belongTo
ORG046,CLS106,publish
CLS106,OBJ014,contain
ORG046,DOC285,publish
ORG046,EXP_DEF031,relevant
ORG046,EXP_DEF031,relevant
ORG046,ORG158,belongTo
ORG158,EXP_DEF032,relevant
ORG046,CLS107,hasRight
CLS107,OBJ136,contain
ORG046,ORG158,relevant
ORG046,EXP_DEF031,relevant
ORG158,EXP_DEF032,relevant
ORG046,DOC286,publish
ORG174,CONC120,duty
ORG174,CONC120,duty
ORG174,CONC120,duty
ORG174,CONC120,duty
ORG174,CONC120,duty
ORG099,ORG613,belongTo
ORG046,ACT177,relevant
CLS108,EXP_DEF033,relevant
ACT159,EXP_DEF034,relevant
ACT181,EXP_DEF035,relevant
ACT212,EXP_DEF036,relevant
ACT159,EXP_DEF037,relevant
ACT181,EXP_DEF038,relevant
ACT212,EXP_DEF039,relevant
CLS109,EXP_DEF040,relevant
CLS110,CONC121,relevant
CLS111,STATE020,relevant
ORG046,DOC287,publish
ORG046,DOC052,publish
DOC288,DOC179,publish
LOC017,LOC099,contain
LOC019,LOC214,contain
LOC021,LOC131,contain
LOC023,LOC215,contain
LOC025,LOC216,contain
LOC027,LOC217,contain
LOC032,LOC218,contain
LOC063,LOC219,contain
LOC034,LOC220,contain
DOC085,DOC194,cite
CONC020,OBJ040,contain
CONC020,DOC196,relevant
ORG017,CONC020,hasRight
ORG046,DOC194,publish
CONC020,OBJ040,isLocate
ORG176,CONC020,hasRight
ORG083,OBJ139,duty
CONC020,OBJ040,relevant
ORG046,DOC295,publish
ORG109,ORG192,belongTo
CONC020,OBJ040,contain
CONC020,LOC224,contain
ORG083,DOC296,publish
CONC020,DOC196,relevant
ORG177,OBJ040,hasRight
ORG046,DOC297,publish
ORG046,OBJ049,prohibition
ORG046,DOC298,publish
ORG046,CLS114,relevant
ORG075,CLS114,relevant
ORG075,OBJ141,contain
ORG046,OBJ142,hasRight
ORG075,OBJ143,contain
ORG046,CLS114,hasRight
ORG046,CLS114,hasRight
ORG075,CLS114,duty
ORG046,CLS114,prohibition
ORG075,OBJ144,duty
ORG177,CONC123,relevant
ORG158,CLS114,relevant
ORG046,CLS115,hasRight
ORG046,DOC299,publish
LOC225,OBJ096,isLocate
LOC226,OBJ096,isLocate
LOC227,OBJ096,isLocate
LOC228,OBJ096,isLocate
LOC229,OBJ096,isLocate
LOC230,OBJ096,isLocate
LOC231,OBJ096,isLocate
LOC232,OBJ096,isLocate
LOC233,OBJ096,isLocate
LOC234,OBJ096,relevant
ORG046,OBJ099,relevant
ORG227,DOC300,publish
LOC012,ACT214,prohibition
OBJ145,ACT215,prohibition
OBJ146,ACT216,relevant
ORG046,DOC301,publish
OBJ147,CONC124,contain
LOC201,ACT217,relevant
ORG208,ACT218,duty
LOC012,ACT219,prohibition
ORG046,CLS116,employ
PER044,EXP_DEF041,workFor
PER045,EXP_DEF041,workFor
PER046,EXP_DEF043,workFor
ORG046,DOC302,cite
CLS054,OBJ148,relevant
CLS107,CLS054,relevant
ORG046,EXP_DEF031,hasRight
ORG046,ORG228,belongTo
ORG046,LOC206,isLocate
ORG176,LOC235,isLocate
ORG046,DOC303,publish
ORG083,LOC236,isLocate
ORG177,OBJ149,contain
ORG083,PER054,duty
ORG229,CLS054,relevant
ORG046,ORG017,belongTo
ORG046,EXP_DEF031,hasRight
ORG083,DOC304,cite
ORG046,ACT100,publish
ORG046,DOC241,publish
ORG109,ORG230,belongTo
ORG017,DOC305,publish
ORG128,ACT220,hasRight
ORG019,DOC241,publish
ORG046,ORG017,belongTo
ORG046,CONC205,relevant
ORG046,ACT113,relevant
ORG046,DOC306,publish
ORG046,DOC307,publish
DOC308,DOC306,relevant
ORG046,DOC327,publish
ORG046,DOC311,publish
ORG232,ACT221,duty
ORG233,ACT222,hasRight
ORG234,DOC312,publish
ORG046,ORG235,hasRight
ORG236,DOC313,publish
ORG233,OBJ150,hasRight
ORG174,ACT223,duty
ORG046,ORG237,relevant
LOC237,CLS118,isLocate
ORG046,ORG237,relevant
ORG046,ORG237,relevant
ORG237,LOC238,isLocate
ORG046,LOC147,isLocate
ORG048,OBJ357,publish
ORG185,OBJ357,duty
ORG046,ORG081,belongTo
ORG046,CLS002,publish
ORG046,DOC048,publish
DOC252,DOC314,cite
OBJ116,OBJ151,contain
OBJ116,ORG238,relevant
DOC315,DOC316,cite
ORG046,DOC317,publish
DOC318,DOC319,contain
DOC320,ACT224,relevant
ORG019,ORG174,belongTo
ORG285,DOC395,prohibition
ORG185,ACT022,hasRight
ORG046,DOC321,publish
ORG046,ORG239,publish
ORG163,CONC125,hasRight
ORG018,DOC322,publish
ORG011,ACT225,belongTo
ORG019,OBJ153,contain
ORG011,OBJ154,hasRight
ORG019,CONC126,publish
ORG093,ORG240,employ
ORG240,ACT226,workFor
ORG093,OBJ155,relevant
ORG129,OBJ156,publish
ORG129,OBJ157,publish
OBJ158,CLS119,isPublished
OBJ159,CLS119,isPublished
ORG046,DOC323,cite
ORG046,ORG017,belongTo
ORG046,CLS106,publish
ORG046,OBJ014,contain
OBJ014,DOC324,contain
ORG502,ORG046,publish
CONC198,ORG022,duty
CONC078,ORG022,hasRight
DOC177,ORG046,relevant
ORG046,DOC325,publish
ACT227,CONC127,contain
OBJ160,CONC015,relevant
OBJ160,STATE021,isLocate
CONC128,STATE022,relevant
ACT228,CONC006,relevant
OBJ161,STATE023,relevant
OBJ161,STATE024,relevant
OBJ161,STATE025,relevant
ACT228,EXP_DEF051,relevant
ACT228,ACT113,belongTo
ORG208,DOC326,hasRight
ACT228,DOC327,isPublished
ACT228,ACT072,relevant
ACT228,CONC129,relevant
ORG046,LOC239,publish
ORG109,OBJ096,publish
ORG018,DOC328,publish
ORG241,ORG242,belongTo
ORG174,OBJ096,hasRight
ORG046,DOC329,publish
ORG046,LOC240,publish
ORG017,DOC330,publish
LOC241,OBJ162,duty
LOC242,OBJ163,duty
ORG243,ORG244,relevant
ORG019,ORG114,belongTo
ORG192,EXP_DEF052,relevant
ORG046,ORG245,relevant
ORG245,OBJ164,contain
ORG245,OBJ165,contain
ORG046,OBJ166,contain
ORG046,OBJ167,contain
ORG245,OBJ168,contain
ORG245,OBJ169,contain
ORG245,OBJ170,contain
ORG046,OBJ152,publish
ORG046,LOC243,isLocate
ORG046,LOC147,isLocate
ORG174,ACT198,duty
ORG174,ACT112,hasRight
ORG046,ORG033,isLocate
ORG046,DOC331,publish
ORG246,DOC332,publish
DOC332,OBJ171,relevant
PER055,DOC333,hasRight
DOC334,ORG247,isPublished
DOC335,PER056,relevant
DOC336,PER057,relevant
DOC337,PER055,relevant
DOC338,PER055,relevant
DOC339,PER058,relevant
DOC340,PER059,relevant
DOC341,PER060,relevant
DOC342,PER060,prohibition
DOC343,PER060,hasRight
DOC344,ORG247,relevant
ORG248,LOC244,publish
ORG017,LOC009,publish
LOC244,OBJ172,contain
LOC244,LOC245,isLocate
LOC244,ORG249,relevant
ORG019,LOC244,relevant
ORG046,ORG081,belongTo
ORG046,CLS002,publish
ORG046,DOC345,publish
CLS098,PER061,belongTo
PER062,ACT229,duty
ORG196,DOC346,publish
PER062,ACT230,duty
PER062,ACT231,duty
ORG196,ACT232,duty
ORG196,ACT233,duty
ORG250,EXP_DEF053,relevant
ORG223,CONC065,hasRight
ORG196,ORG341,duty
ORG046,DOC347,publish
ORG046,CONC130,relevant
ORG046,ORG251,relevant
ORG252,CONC130,relevant
ORG046,CONC130,relevant
CONC130,LOC251,isLocate
ORG046,CONC130,relevant
CONC130,ORG253,relevant
ORG046,CONC130,relevant
ORG046,DOC040,publish
OBJ123,LOC001,isLocate
ORG046,DOC348,publish
DOC348,LOC252,isLocate
OBJ173,CONC131,relevant
DOC348,ACT234,relevant
DOC349,PER063,employ
DOC350,ORG254,belongTo
DOC348,EXP_DEF054,relevant
LOC253,DOC351,relevant
ORG255,PER064,duty
ORG256,PER065,hasRight
ORG046,DOC352,publish
ORG046,DOC353,publish
ORG046,CLS120,publish
LOC254,CLS121,publish
DOC065,DOC359,contain
ORG046,DOC360,publish
ORG017,DOC361,publish
ORG259,ACT246,relevant
ORG046,CONC049,relevant
ORG046,DOC189,contain
ORG046,CLS067,relevant
ORG046,ACT089,publish
ORG046,ORG116,belongTo
ORG046,CONC134,relevant
DOC200,ACT106,relevant
ORG194,ACT247,relevant
CONC135,CONC136,classifyTo
ACT248,ACT249,contain
PER066,CONC137,hasRight
OBJ175,CONC138,contain
ACT250,CONC139,relevant
PER067,CONC140,relevant
OBJ176,ACT251,publish
ORG046,CLS025,publish
ORG018,DOC146,publish
LOC017,LOC018,contain
LOC019,LOC114,contain
LOC021,LOC135,contain
LOC023,LOC162,contain
LOC032,LOC159,contain
LOC063,LOC160,contain
LOC034,LOC065,contain
LOC066,LOC163,contain
LOC069,LOC184,contain
LOC046,LOC186,contain
ORG046,ORG081,belongTo
ORG046,CLS002,publish
ORG046,DOC363,publish
CLS122,EXP_DEF055,relevant
ORG046,ACT252,publish
LOC255,OBJ177,isLocate
LOC206,OBJ177,contain
LOC256,ACT253,isLocate
ACT254,ACT255,contain
LOC256,CONC141,relevant
LOC256,OBJ177,prohibition
LOC256,OBJ178,prohibition
LOC256,ACT253,hasRight
DOC364,ACT254,relevant
ACT256,DOC365,cite
LOC256,OBJ179,relevant
LOC257,ACT257,prohibition
LOC256,ACT253,hasRight
DOC366,EXP_DEF056,relevant
LOC256,ACT253,hasRight
ORG260,ACT252,hasRight
LOC256,ACT253,relevant
ORG046,LOC258,relevant
LOC167,EXP_DEF057,relevant
LOC023,EXP_DEF058,relevant
LOC032,EXP_DEF059,relevant
LOC259,EXP_DEF060,relevant
LOC260,EXP_DEF061,relevant
ORG046,DOC367,publish
ORG046,CLS123,publish
CLS053,ACT258,relevant
ORG046,EXP_DEF062,relevant
ORG046,CLS025,publish
ORG046,ACT259,publish
ORG046,ACT259,relevant
ORG046,ORG046,belongTo
ORG046,LOC179,publish
OBJ180,CONC142,relevant
LOC179,ACT260,contain
LOC179,DOC368,relevant
LOC179,OBJ181,relevant
LOC179,ORG046,belongTo
LOC179,OBJ182,contain
LOC179,CONC061,relevant
LOC179,ORG196,hasRight
LOC179,CONC143,relevant
ORG046,DOC369,publish
LOC048,LOC050,isLocate
LOC052,LOC261,isLocate
LOC167,LOC046,isLocate
ORG109,ACT313,relevant
CONC162,CONC158,relevant
ORG196,ACT162,publish
ACT162,ACT113,relevant
ORG046,DOC372,publish
ORG176,ACT261,hasRight
ORG264,ACT262,hasRight
ORG176,ORG265,belongTo
ORG177,OBJ185,contain
ORG266,ACT263,duty
ORG177,ACT264,hasRight
ORG178,ACT265,hasRight
ORG177,OBJ186,contain
OBJ186,PER068,employ
OBJ186,OBJ187,contain
ACT266,EXP_DEF063,relevant
ACT267,OBJ188,relevant
ACT268,OBJ189,relevant
ORG046,DOC373,publish
ORG177,DOC374,hasRight
ORG177,OBJ190,contain
ORG267,ACT269,hasRight
ORG177,ACT270,hasRight
ORG268,ACT271,hasRight
ORG046,DOC375,publish
ORG109,ORG192,belongTo
OBJ191,ACT272,contain
OBJ192,CLS054,relevant
DOC376,EXP_DEF064,relevant
ORG269,DOC375,hasRight
ORG046,DOC377,publish
ORG048,CLS124,publish
ORG270,CLS124,contain
ORG046,DOC378,publish
ORG271,ORG272,relevant
ACT273,STATE026,relevant
ORG046,ORG273,publish
ORG274,OBJ088,duty
ORG274,ACT274,duty
ORG275,CONC065,hasRight
ORG276,DOC379,relevant
ORG277,DOC380,relevant
ORG046,DOC381,publish
DOC061,CLS125,relevant
OBJ021,CLS125,contain
OBJ022,CLS125,relevant
LOC263,CONC144,isLocate
DOC382,ACT275,relevant
DOC383,ACT276,relevant
ORG278,OBJ021,hasRight
LOC008,CLS125,isLocate
OBJ027,OBJ193,contain
ORG279,ACT277,hasRight
ORG280,CLS126,publish
DOC384,DOC385,cite
CLS126,OBJ194,relevant
DOC100,OBJ195,contain
ORG054,DOC386,hasRight
OBJ196,OBJ197,classifyTo
ORG647,ORG196,belongTo
ORG647,ORG196,belongTo
DOC047,DOC209,relevant
ORG046,DOC387,publish
ORG281,DOC387,isPublished
ORG282,DOC387,isPublished
DOC387,ACT278,prohibition
ORG046,DOC388,publish
ORG046,ORG158,hasRight
ORG046,DOC006,publish
ORG026,ORG046,belongTo
ORG026,DOC389,contain
CONC078,ORG026,relevant
ORG046,ACT022,hasRight
ORG026,ACT279,relevant
ORG046,DOC006,publish
ORG046,ORG011,publish
ACT280,CONC145,relevant
ACT281,CONC146,relevant
ORG046,ORG011,hasRight
ACT282,ACT283,relevant
ORG099,ACT284,hasRight
LOC264,ACT282,isPublished
ACT282,EXP_DEF065,relevant
ACT281,OBJ198,contain
PER069,LOC265,relevant
DOC390,ACT285,duty
ORG046,ACT286,hasRight
LOC266,ACT285,isLocate
ORG223,CONC147,hasRight
ORG283,CONC148,hasRight
ORG283,DOC391,hasRight
LOC266,OBJ199,isLocate
PER070,CONC149,relevant
CLS127,ACT287,contain
ORG283,OBJ200,hasRight
OBJ201,OBJ202,relevant
OBJ203,ACT288,relevant
ACT289,DOC392,cite
OBJ203,OBJ204,relevant
DOC393,ORG098,isPublished
OBJ203,ACT290,relevant
OBJ203,ACT291,cite
ACT292,ACT293,contain
OBJ203,OBJ126,isLocate
OBJ203,ACT294,relevant
ORG244,ORG046,belongTo
ORG046,DOC394,publish
ORG284,LOC267,isLocate
OBJ129,STATE027,relevant
ORG285,PER071,workFor
ACT295,ACT296,relevant
ORG286,ACT297,hasRight
OBJ129,ACT298,prohibition
ORG285,DOC395,prohibition
ACT299,CONC037,relevant
OBJ205,LOC268,contain
OBJ129,ACT204,relevant
ORG285,DOC396,publish
PER072,ACT300,relevant
OBJ129,ACT301,relevant
CONC150,CONC151,relevant
ORG086,CONC180,relevant
ORG046,DOC397,publish
ORG109,LOC269,belongTo
ORG011,ORG046,relevant
ORG290,DOC400,publish
ORG019,DOC401,publish
ORG291,ORG292,relevant
CONC152,CONC153,relevant
ACT303,STATE028,duty
ORG046,DOC024,cite
ORG046,CONC154,relevant
ORG046,CONC154,duty
ORG046,CONC154,hasRight
ORG046,CONC154,hasRight
ORG099,CONC154,duty
CONC154,ORG099,belongTo
CONC154,ORG099,relevant
ORG046,CONC154,hasRight
ORG099,CONC154,duty
ORG046,CONC154,hasRight
ORG046,CONC154,hasRight
LOC251,OBJ088,contain
LOC251,LOC155,contain
ORG046,ACT304,publish
ORG293,CONC155,relevant
ORG294,ACT305,relevant
ORG295,ACT306,relevant
ORG296,DOC402,relevant
LOC270,OBJ207,relevant
OBJ116,OBJ208,relevant
ORG297,OBJ209,relevant
ORG298,ACT307,relevant
ACT308,STATE029,prohibition
OBJ210,ACT309,contain
PER073,ACT310,relevant
ORG133,CONC169,classifyTo
OBJ225,CLS171,relevant
LOC008,ACT411,contain
ORG046,ACT324,publish
LOC272,STATE030,isLocate
ORG046,DOC414,cite
OBJ128,EXP_DEF066,relevant
ORG046,CONC161,hasRight
OBJ128,STATE031,relevant
ORG046,DOC415,publish
ORG301,ORG302,belongTo
DOC416,CONC162,relevant
DOC416,ACT325,contain
DOC384,DOC417,relevant
DOC418,DOC419,isPublished
ORG099,EXP_DEF053,hasRight
ORG099,DOC196,publish
OBJ304,ACT531,contain
ORG046,ACT179,hasRight
ORG046,ORG011,relevant
ORG046,DOC177,relevant
ORG303,ORG304,belongTo
ORG305,CONC163,relevant
ORG305,ORG306,hasRight
ORG307,ORG308,isLocate
CLS132,CONC164,relevant
CLS133,ORG004,workFor
CLS132,ORG123,workFor
CLS132,ORG123,isPublished
CLS132,CONC165,hasRight
ORG305,DOC420,publish
ACT326,CLS134,workFor
ORG305,OBJ211,hasRight
ORG046,ACT327,hasRight
ORG309,ORG310,relevant
ACT328,LOC273,isLocate
LOC274,LOC154,classifyTo
OBJ212,OBJ213,contain
OBJ214,OBJ215,contain
OBJ216,OBJ217,contain
LOC203,OBJ218,contain
ORG046,CONC166,publish
CONC166,LOC256,relevant
CONC166,OBJ219,contain
CONC166,CLS135,contain
CONC166,LOC256,relevant
CONC166,LOC256,relevant
CONC166,LOC256,relevant
CONC166,LOC256,relevant
CONC166,LOC256,relevant
CONC166,LOC256,isPublished
CONC166,LOC256,isPublished
CONC166,LOC256,isPublished
CONC166,LOC256,relevant
CONC166,LOC275,isLocate
CONC166,ORG311,relevant
CONC166,ORG311,hasRight
CONC166,ORG311,relevant
CONC166,ORG311,hasRight
CONC166,LOC256,relevant
CONC166,LOC256,relevant
ORG046,DOC421,publish
ORG099,OBJ220,hasRight
ORG099,ORG312,prohibition
ORG313,ACT040,relevant
ORG314,OBJ221,contain
ORG046,DOC422,publish
ORG185,OBJ222,duty
ORG314,OBJ223,duty
ORG174,ACT329,hasRight
ORG315,ACT330,hasRight
ORG046,ACT331,publish
ORG316,STATE032,relevant
DOC423,DOC165,contain
ACT332,ORG196,belongTo
ACT333,CLS136,duty
LOC276,ORG317,hasRight
DOC424,ACT334,relevant
ACT335,DOC425,relevant
ACT333,ACT336,relevant
EXP_DEF103,DOC147,isPublished
OBJ131,CONC319,contain
DOC254,ACT374,relevant
ORG046,CONC167,publish
CONC168,CONC169,relevant
CONC168,OBJ224,relevant
DOC426,DOC165,contain
CONC168,CONC170,relevant
CONC171,CONC169,relevant
CONC168,ORG113,relevant
DOC427,CONC172,relevant
ORG318,ACT337,hasRight
CONC168,DOC215,relevant
ORG535,CONC378,hasRight
CONC078,ORG535,duty
CONC078,ORG535,hasRight
